,X,Y,Z
0,7541566.37,5751107.25,125.78
1,7541566.42,5751107.3,125.66
2,7541566.47,5751107.36,125.53
3,7541566.51,5751107.41,125.41
4,7541566.56,5751107.47,125.29
5,7541565.67,5751106.77,127.29
6,7541565.71,5751106.82,127.18
7,7541565.76,5751106.87,127.06
8,7541565.81,5751106.92,126.94
9,7541565.85,5751106.98,126.82
10,7541565.9,5751107.03,126.71
11,7541565.94,5751107.08,126.59
12,7541565.99,5751107.13,126.47
13,7541566.03,5751107.18,126.36
14,7541566.08,5751107.24,126.23
15,7541566.13,5751107.29,126.12
16,7541566.2,5751107.35,125.66
17,7541566.26,5751107.4,125.42
18,7541566.32,5751107.45,125.14
19,7541566.37,5751107.51,124.98
20,7541565.44,5751106.79,127.09
21,7541565.48,5751106.84,126.98
22,7541565.54,5751106.89,126.75
23,7541561.78,5751106.05,127.38
24,7541561.82,5751106.1,127.39
25,7541561.62,5751106.13,127.09
26,7541561.66,5751106.17,126.98
27,7541561.7,5751106.22,126.81
28,7541561.74,5751106.27,126.82
29,7541561.77,5751106.33,126.86
30,7541561.81,5751106.38,126.81
31,7541561.54,5751106.31,126.38
32,7541561.59,5751106.36,126.25
33,7541561.62,5751106.41,126.25
34,7541561.66,5751106.47,126.2
35,7541561.7,5751106.52,126.16
36,7541561.75,5751106.54,125.7
37,7541561.39,5751106.43,125.78
38,7541561.43,5751106.48,125.71
39,7541561.47,5751106.54,125.65
40,7541561.52,5751106.56,125.19
41,7541561.57,5751106.61,125.08
42,7541561.59,5751106.69,125.48
43,7541561.64,5751106.71,124.98
44,7541561.34,5751106.66,124.99
45,7541561.5,5751106.87,124.76
46,7541563.82,5751105.25,133.79
47,7541563.87,5751105.34,133.87
48,7541563.9,5751105.39,133.91
49,7541563.93,5751105.44,133.95
50,7541563.96,5751105.49,134.01
51,7541563.99,5751105.54,134.04
52,7541564.02,5751105.58,134.04
53,7541564.06,5751105.69,134.38
54,7541564.12,5751105.77,134.32
55,7541564.73,5751106.03,129.35
56,7541564.77,5751106.08,129.25
57,7541564.81,5751106.12,129.15
58,7541564.86,5751106.17,129.04
59,7541564.9,5751106.22,128.93
60,7541564.94,5751106.27,128.82
61,7541564.98,5751106.31,128.72
62,7541565.02,5751106.36,128.61
63,7541565.06,5751106.41,128.5
64,7541565.1,5751106.45,128.4
65,7541565.14,5751106.5,128.29
66,7541565.19,5751106.55,128.17
67,7541565.23,5751106.6,128.06
68,7541565.27,5751106.65,127.96
69,7541565.32,5751106.7,127.82
70,7541565.37,5751106.74,127.55
71,7541564.33,5751105.69,134.29
